artist,play_count
The White Stripes,1196
The Dead Weather,811
Portishead,800
The Black Keys,695
Kasabian,678
Johann Sebastian Bach,677
Ludwig van Beethoven,656
London Philharmonic Orchestra,643
Frédéric Chopin,641
Radiohead,605
Citizen Cope,568
Billie Holiday,489
Muse,453
The Chemical Brothers,439
Norah Jones,417
Wolfgang Amadeus Mozart,375
The Beatles,361
Jack Johnson,360
Rammstein,351
[unknown],347
Daft Punk,339
Massive Attack,335
Antonio Vivaldi,319
Morphine,308
Franz Liszt,288
Gotan Project,284
The Raconteurs,248
Band of Skulls,232
Skrillex,218
Kings of Leon,216
Claude Debussy,208
Morcheeba,201
Björk,199
The Killers,197
Micatone,194
Franz Schubert,192
The Kills,192
Elisabeth Leonskaja,189
Metallica,185
Muzio Clementi,179
Bob Marley & The Wailers,176
The xx,169
Silversun Pickups,167
A Perfect Circle,165
CocoRosie,163
Finghin Collins,162
Air,157
The Mars Volta,157
David Bowie,154
Thievery Corporation,151
Petra Magoni & Ferruccio Spinetti,147
Edward Sharpe & The Magnetic Zeros,143
Pyotr Ilyich Tchaikovsky,142
Andrés Calamaro,141
Queen,141
Giacomo Puccini,139
Janusz Olejniczak,139
Blur,138
Kavinsky,135
Beth Gibbons & Rustin Man,133
alt-J,130
Bob Marley,130
Crystal Fighters,128
Deap Vally,128
Beck,126
André Previn,125
The Strokes,123
Amy Winehouse,122
Tycho,122
Beirut,120
James Blake,120
Maxim Vengerov,113
Dawn of Midi,112
Asian Dub Foundation,107
La Chicana,106
The Prodigy,103
Tool,102
The Black Angels,101
Various Artists,101
Zero 7,101
Jay-Z,100
Joshua Bell,100
Sergei Prokofiev,96
AC/DC,95
Erik Satie,92
Gioacchino Rossini,92
Lang Lang,92
Louis Armstrong,91
Phosphorescent,91
Black Rebel Motorcycle Club,90
Gipsy Kings,88
Johannes Brahms,87
Cheryl Studer,83
Peter Schmalfuss,83
Yo-Yo Ma,83
Camille Saint-Saëns,82
Jack White,82
Pink Floyd,82
Édith Piaf,82
George Michael,81
Lana Del Rey,81
Niña Pastori,81
Sergei Rachmaninoff,81
Sigur Rós,81
Charlie Parker & Miles Davis,80
London Symphony Orchestra,80
Bob Dylan,78
Arctic Monkeys,77
Bonn Classical Philharmonic,77
Feist,77
Gomez,76
Diomedes Díaz,75
Gorillaz,74
Samuel Barber,73
The London Ensemble,73
Igor Stravinsky,72
Florence + the Machine,71
Sir Simon Rattle,71
Boards of Canada,70
Maroon 5,70
MGMT,70
Mazzy Star,68
Travis,67
Aphex Twin,65
Vampire Weekend,65
Giuseppe Verdi,64
Beastie Boys,63
Tricky,63
Antonín Dvořák,62
Philadelphia Orchestra,62
Electric Light Orchestra,61
Frank Sinatra,60
Georges Bizet,60
Bonobo,59
Empire of the Sun,59
Kings of Convenience,59
SILVIO RODRÍGUEZ,59
The War on Drugs,59
Alexander Markov,58
Bon Iver,58
Dan Auerbach,58
Fugees,58
Czech Philharmonic Orchestra,57
Robert Schumann,57
Wild Child,57
Gabriel Fauré,56
MS MR,56
Placebo,56
Richard Wagner,56
Sir Edward Elgar,55
Celina y Reutilio,54
Fake Blood,54
Peter Bjorn and John,54
Primal Scream,54
Astor Piazzolla,53
Damien Rice,53
Lithuanian Chamber Orchestra,53
Squirrel Nut Zippers,53
The Cure,53
Babasónicos,52
Carlos Vives,52
Josef Merten,52
Peaceful Harmonic Orchestra,52
Robert Bradley's Blackwater Surprise,52
Roger Sanchez,52
Simon Trpčeski,52
The Rolling Stones,52
César Franck,51
R.E.M.,51
André Hazes,50
Marilyn Manson,50
Teddy Wilson & His Orchestra,49
Edvard Grieg,48
Of Monsters and Men,48
Soda Stereo,48
Georg Friedrich Händel,47
M83,47
Vincenzo Bellini,47
Angus & Julia Stone,46
Gustav Mahler,46
Nikolaus Harnoncourt,46
Broken Bells,45
Dido,45
Coldplay,43
James Blunt,43
Pixies,43
Queens of the Stone Age,43
Yeah Yeah Yeahs,43
Beat Connection,42
Cage the Elephant,42
Caifanes,42
Cat Power,42
Felix Mendelssohn,42
Gang Starr,42
John Williams,42
Nirvana,42
Peter Ilyitch Tchaikovsky,42
Slipknot,42
Vladimir Martynov,42
Henrik Måwe,41
